frame,start,end,SMU,CF,KE,ARG,STR,CO,u1,u2,u3,u4,notes
1,00:00:00,00:00:30,1,1,2,2,2,1,2,2,2,1,
2,00:00:30,00:01:00,2,2,2,0,2,1,2,2,2,2,
3,00:01:00,00:01:30,-1,2,1,1,1,0,2,2,2,2,
4,00:01:30,00:02:00,2,1,1,1,-2,1,2,2,2,2,
5,00:02:00,00:02:30,1,1,2,0,1,1,2,2,1,2,
6,00:02:30,00:03:00,1,-2,0,0,1,1,-2,1,-2,2,
7,00:03:00,00:03:30,1,-1,1,1,-2,-1,2,2,2,2,
8,00:03:30,00:04:00,2,2,2,2,1,1,2,2,2,2,
9,00:04:00,00:04:30,2,2,2,2,-2,1,2,2,2,2,
10,00:04:30,00:05:00,-1,-1,1,0,-2,1,1,2,2,2,
11,00:05:00,00:05:30,2,2,2,2,2,1,2,2,1,2,
12,00:05:30,00:06:00,1,1,1,1,-2,0,2,2,2,1,
13,00:06:00,00:06:30,2,1,2,1,1,1,2,2,1,2,
14,00:06:30,00:07:00,1,-2,0,2,-2,1,-2,-1,-1,0,
15,00:07:00,00:07:30,1,1,1,2,2,1,2,2,2,0,
16,00:07:30,00:08:00,1,1,2,0,-2,1,2,2,2,0,
17,00:08:00,00:08:30,0,-1,1,0,-2,1,2,-2,1,2,
18,00:08:30,00:09:00,1,-2,0,0,-2,1,-2,-1,-1,0,
19,00:09:00,00:09:30,1,2,0,0,-2,1,2,1,0,2,
20,00:09:30,00:10:00,2,-1,1,0,-2,2,2,1,2,2,
21,00:10:00,00:10:30,1,1,2,0,1,2,2,2,2,2,
22,00:10:30,00:11:00,1,1,2,0,1,2,2,2,2,2,
23,00:11:00,00:11:30,1,1,1,2,-2,1,2,2,2,1,
24,00:11:30,00:12:00,2,1,2,0,-2,1,2,2,2,1,
25,00:12:00,00:12:30,2,1,1,1,-2,1,2,2,2,1,
26,00:12:30,00:13:00,1,1,2,1,2,1,2,2,2,1,
27,00:13:00,00:13:30,2,2,1,1,-2,2,2,2,2,2,
28,00:13:30,00:14:00,1,1,2,1,-2,0,2,2,2,1,
29,00:14:00,00:14:30,1,2,1,1,-2,1,2,2,2,2,"Noisy audio, hard to understand the speech."
30,00:14:30,00:15:00,2,0,2,0,-2,0,2,2,2,1,
31,00:15:00,00:15:30,1,2,2,1,2,1,2,2,2,2,
32,00:15:30,00:16:00,2,-1,0,2,-2,1,2,2,2,1,
33,00:16:00,00:16:30,2,2,2,2,-2,1,2,2,2,2,
34,00:16:30,00:17:00,-2,-2,0,1,-2,-1,2,1,1,2,Parallel dialogue
35,00:17:00,00:17:30,2,1,2,1,-2,1,2,2,2,1,
36,00:17:30,00:18:00,2,1,2,1,1,2,2,2,2,1,
37,00:18:00,00:18:30,2,0,1,0,-2,2,2,2,1,1,
38,00:18:30,00:19:00,2,1,2,2,-2,1,2,2,2,1,
39,00:19:00,00:19:30,1,1,0,1,1,1,2,2,2,1,
40,00:19:30,00:20:00,2,0,2,0,-2,1,2,2,2,2,
41,00:20:00,00:20:30,2,1,2,1,-2,2,2,2,2,2,
42,00:20:30,00:21:00,1,1,1,1,1,1,2,2,2,2,This frame was a bit confusing for me.
43,00:21:00,00:21:30,2,1,2,1,-2,1,2,2,2,1,
44,00:21:30,00:22:00,0,0,2,2,-2,0,2,2,1,2,
45,00:22:00,00:22:30,1,1,2,2,-2,1,2,2,1,2,
46,00:22:30,00:23:00,1,1,1,-2,2,0,2,2,1,2,
47,00:23:00,00:23:30,2,2,2,1,-2,1,2,2,2,2,
48,00:23:30,00:24:00,1,1,2,1,-2,1,2,2,2,2,
49,00:24:00,00:24:30,2,1,2,1,-2,1,2,2,1,2,
50,00:24:30,00:25:00,0,1,2,0,1,1,2,2,2,2,
51,00:25:00,00:25:30,1,1,0,1,1,-1,2,2,2,2,
52,00:25:30,00:26:00,2,-1,0,0,-2,1,-2,-1,-1,2,
53,00:26:00,00:26:30,0,0,1,0,2,1,2,2,2,2,
54,00:26:30,00:27:00,1,-1,1,1,-2,1,2,2,2,2,
55,00:27:00,00:27:30,2,2,2,1,1,1,2,2,2,2,
56,00:27:30,00:28:00,1,1,2,1,-2,2,2,2,2,2,
57,00:28:00,00:28:30,2,0,2,0,-2,1,1,2,1,2,
58,00:28:30,00:29:00,2,1,2,2,-2,1,2,2,0,2,
59,00:29:00,00:29:30,2,0,2,1,2,1,2,2,1,1,
60,00:29:30,00:30:00,1,0,2,1,1,0,1,2,1,0,
61,00:30:00,00:30:30,2,1,2,1,1,-2,2,2,2,1,
62,00:30:30,00:31:00,1,1,2,1,-2,2,2,2,2,1,
63,00:31:00,00:31:30,2,0,2,0,2,0,2,2,1,2,
64,00:31:30,00:32:00,1,1,1,1,0,1,1,2,1,2,
